127.0.0.1 - - [26/Jun/2018:14:08:12 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [26/Jun/2018:14:08:15 +0700] "GET /QLSinhVien/ListSinhVien/* HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [26/Jun/2018:14:08:19 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [26/Jun/2018:14:08:21 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [26/Jun/2018:14:08:22 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [26/Jun/2018:14:08:24 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [26/Jun/2018:14:30:31 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3612
0:0:0:0:0:0:0:1 - - [26/Jun/2018:14:30:36 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:01:49 +0700] "GET /QLSinhVien/ListSinhVien/edit?id=17&lang=Resource_vi_VN HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:01:55 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=1&lang=Resource_vi_VN HTTP/1.1" 200 3614
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:01:57 +0700] "GET /QLSinhVien/ListSinhVien/ListSinhVien?page=2&lang=Resource_vi_VN HTTP/1.1" 200 2722
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:36:47 +0700] "GET /QLSinhVien/ListSinhVien/new?lang=Resource_vi_VN HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:36:54 +0700] "GET /QLSinhVien/ListSinhVien/new?lang=Resource_vi_VN HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:38:15 +0700] "GET /QLSinhVien/ListSinhVien/new?lang=Resource_vi_VN HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:38:16 +0700] "GET /favicon.ico HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:38:18 +0700] "GET /QLSinhVien/ListSinhVien/list?lang=Resource_vi_VN HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:38:26 +0700] "GET /QLSinhVien/ListSinhVien/ HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:38:27 +0700] "GET /QLSinhVien/ListSinhVien/ HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:38:28 +0700] "GET /QLSinhVien/ListSinhVien/ HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [26/Jun/2018:15:38:29 +0700] "GET /QLSinhVien/ListSinhVien/new?lang=Resource_vi_VN HTTP/1.1" 200 2243
