127.0.0.1 - - [25/Jun/2018:14:52:24 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:52:34 +0700] "GET /quanlisinhvien1/SinhVienList.jsp HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:21 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:22 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:22 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:22 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:24 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:25 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:26 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:29 +0700] "GET /quanlisinhvien1/new HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:53:36 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:54:28 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:54:29 +0700] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:56:07 +0700] "GET /quanlisinhvien1/list?trang=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:56:21 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:56:23 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:56:53 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:57:14 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:57:26 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:57:45 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:14:58:03 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:01:09 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:01:13 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:01:14 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:01:14 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:01:15 +0700] "GET /quanlisinhvien1/list HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:01:18 +0700] "GET /quanlisinhvien1/list?page=1 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:01 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:03 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:03 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:03 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:03 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:04 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:09 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:10 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:10 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:02:48 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 2978
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:05:35 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:07:48 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:07:59 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:08:35 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:08:37 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=_US HTTP/1.1" 500 3893
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:08:59 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:00 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:01 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:02 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:03 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:04 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:04 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:05 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:06 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:07 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:07 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:08 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:09 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:10 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:11 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:11 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:11 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:09:12 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:28 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:34 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:34 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:36 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:37 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:37 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:38 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:38 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:39 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:39 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:40 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:41 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:47 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:49 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:50 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:51 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=en_US HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [25/Jun/2018:15:27:52 +0700] "GET /quanlisinhvien1/list?page=1&theLocale=vi_VN HTTP/1.1" 200 3175
